dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j10,PSP1.SCH,solver_3,feasible,25,1601.4,2.00,8,42,120,true,"0, 0, 3, 0, 6, 20, 10, 20, 10, 6"
sm_j10,PSP2.SCH,solver_3,feasible,46,1602.6,2.00,8,42,120,true,"11, 18, 1, 0, 0, 27, 15, 9, 37, 37"
sm_j10,PSP3.SCH,solver_3,feasible,29,1600.5,2.00,8,42,120,true,"13, 0, 0, 16, 7, 13, 24, 22, 14, 16"
sm_j10,PSP4.SCH,solver_3,feasible,33,1600.4,2.00,8,42,120,true,"15, 8, 10, 0, 3, 8, 3, 15, 23, 10"
sm_j10,PSP5.SCH,solver_3,feasible,32,1600.6,2.00,8,42,120,true,"0, 0, 9, 0, 11, 22, 13, 30, 13, 13"
sm_j10,PSP6.SCH,solver_3,feasible,33,1601.3,2.00,8,42,120,true,"0, 23, 0, 14, 4, 4, 28, 20, 14, 20"
sm_j10,PSP7.SCH,solver_3,feasible,32,1601.0,2.00,8,42,120,true,"12, 8, 0, 8, 0, 18, 23, 23, 23, 9"
sm_j10,PSP8.SCH,solver_3,feasible,35,1601.2,2.00,8,42,120,true,"0, 9, 0, 19, 19, 0, 28, 28, 34, 31"
sm_j10,PSP9.SCH,solver_3,feasible,41,1600.3,2.00,8,42,120,true,"14, 0, 19, 8, 0, 35, 17, 25, 8, 21"
sm_j10,PSP17.SCH,solver_3,true_infeasible,,0.0,2.00,8,42,120,true,-1
sm_j10,PSP10.SCH,solver_3,feasible,31,1601.1,2.00,8,42,120,true,"1, 25, 0, 6, 1, 28, 17, 10, 17, 21"
sm_j10,PSP11.SCH,solver_3,feasible,29,1600.8,2.00,8,42,120,true,"0, 14, 0, 8, 16, 8, 18, 24, 24, 18"
sm_j10,PSP12.SCH,solver_3,feasible,27,1601.3,2.00,8,42,120,true,"6, 6, 0, 0, 6, 13, 19, 26, 13, 10"
sm_j10,PSP13.SCH,solver_3,feasible,35,1600.6,2.00,8,42,120,true,"0, 15, 5, 0, 22, 5, 25, 22, 15, 34"
sm_j10,PSP14.SCH,solver_3,feasible,20,1600.7,2.00,8,42,120,true,"5, 0, 0, 8, 5, 9, 9, 11, 9, 14"
sm_j10,PSP15.SCH,solver_3,feasible,39,1600.5,2.00,8,42,120,true,"9, 0, 9, 0, 9, 15, 30, 19, 30, 20"
sm_j10,PSP16.SCH,solver_3,feasible,26,1601.4,2.00,8,42,120,true,"0, 7, 0, 7, 7, 19, 9, 9, 13, 24"
sm_j10,PSP18.SCH,solver_3,feasible,26,1600.7,2.00,8,42,120,true,"11, 0, 8, 11, 0, 22, 18, 18, 21, 21"
sm_j10,PSP26.SCH,solver_3,true_infeasible,,0.0,2.00,8,42,120,true,-1
sm_j10,PSP27.SCH,solver_3,true_infeasible,,0.0,2.00,8,42,120,true,-1
sm_j10,PSP19.SCH,solver_3,feasible,22,1600.5,2.00,8,42,120,true,"4, 0, 0, 0, 5, 18, 10, 8, 1, 5"
sm_j10,PSP20.SCH,solver_3,feasible,39,1602.3,2.00,8,42,120,true,"10, 6, 0, 10, 2, 20, 29, 29, 0, 20"
sm_j10,PSP21.SCH,solver_3,feasible,29,1600.7,2.00,8,42,120,true,"0, 0, 0, 6, 16, 19, 7, 19, 26, 0"
sm_j10,PSP22.SCH,solver_3,feasible,20,1601.8,2.00,8,42,120,true,"0, 8, 2, 0, 2, 8, 9, 15, 8, 9"
sm_j10,PSP23.SCH,solver_3,feasible,18,1600.9,2.00,8,42,120,true,"0, 0, 0, 2, 15, 8, 9, 10, 9, 0"
sm_j10,PSP24.SCH,solver_3,feasible,23,1601.0,2.00,8,42,120,true,"2, 0, 0, 0, 6, 3, 1, 4, 6, 15"
sm_j10,PSP25.SCH,solver_3,feasible,35,1600.3,2.00,8,42,120,true,"0, 6, 0, 7, 0, 10, 20, 30, 23, 20"
sm_j10,PSP28.SCH,solver_3,feasible,25,1600.4,2.00,8,42,120,true,"3, 0, 6, 0, 0, 4, 9, 9, 23, 18"
sm_j10,PSP29.SCH,solver_3,feasible,29,1600.7,2.00,8,42,120,true,"0, 5, 0, 0, 0, 12, 12, 20, 12, 28"
sm_j10,PSP30.SCH,solver_3,feasible,30,1602.0,2.00,8,42,120,true,"0, 9, 0, 5, 0, 20, 20, 11, 11, 21"
sm_j10,PSP31.SCH,solver_3,feasible,55,1602.7,2.00,8,42,120,true,"10, 18, 0, 16, 46, 27, 52, 27, 16, 37"
sm_j10,PSP32.SCH,solver_3,feasible,43,1600.7,2.00,8,42,120,true,"10, 19, 23, 21, 0, 38, 34, 34, 27, 41"
sm_j10,PSP33.SCH,solver_3,feasible,67,1604.2,2.00,8,42,120,true,"1, 14, 0, 10, 20, 28, 20, 38, 47, 57"
sm_j10,PSP34.SCH,solver_3,feasible,58,1601.8,2.00,8,42,120,true,"17, 25, 0, 29, 7, 47, 54, 37, 37, 47"
sm_j10,PSP35.SCH,solver_3,feasible,38,1600.7,2.00,8,42,120,true,"0, 9, 34, 18, 6, 26, 35, 37, 9, 18"
sm_j10,PSP36.SCH,solver_3,feasible,51,1600.7,2.00,8,42,120,true,"29, 19, 0, 24, 10, 38, 29, 45, 35, 36"
sm_j10,PSP37.SCH,solver_3,feasible,32,1600.2,2.00,8,42,120,true,"6, 0, 0, 17, 9, 30, 16, 20, 17, 20"
sm_j10,PSP38.SCH,solver_3,feasible,43,1600.6,2.00,8,42,120,true,"9, 0, 0, 17, 9, 36, 11, 41, 27, 38"
sm_j10,PSP39.SCH,solver_3,feasible,43,1600.9,2.00,8,42,120,true,"3, 0, 34, 0, 14, 25, 7, 16, 25, 38"
sm_j10,PSP40.SCH,solver_3,feasible,49,1600.9,2.00,8,42,120,true,"15, 9, 9, 0, 30, 30, 35, 42, 40, 20"
sm_j10,PSP41.SCH,solver_3,feasible,35,1600.2,2.00,8,42,120,true,"12, 0, 7, 0, 17, 21, 7, 3, 31, 12"
sm_j10,PSP42.SCH,solver_3,feasible,33,1601.8,2.00,8,42,120,true,"4, 4, 0, 3, 26, 23, 14, 28, 14, 23"
sm_j10,PSP43.SCH,solver_3,feasible,27,1601.4,2.00,8,42,120,true,"9, 0, 18, 1, 9, 1, 18, 18, 14, 21"
sm_j10,PSP51.SCH,solver_3,true_infeasible,,0.0,2.00,8,42,120,true,-1
sm_j10,PSP44.SCH,solver_3,feasible,32,1601.1,2.00,8,42,120,true,"0, 3, 0, 10, 16, 10, 29, 3, 26, 16"
sm_j10,PSP45.SCH,solver_3,feasible,35,1600.9,2.00,8,42,120,true,"20, 9, 10, 29, 28, 0, 10, 20, 9, 0"
sm_j10,PSP46.SCH,solver_3,feasible,28,1601.2,2.00,8,42,120,true,"0, 3, 0, 0, 12, 12, 4, 19, 19, 12"
sm_j10,PSP47.SCH,solver_3,feasible,24,1601.1,2.00,8,42,120,true,"0, 0, 16, 6, 10, 7, 17, 16, 19, 19"
sm_j10,PSP48.SCH,solver_3,feasible,29,1600.6,2.00,8,42,120,true,"0, 12, 9, 0, 11, 4, 16, 26, 11, 16"
sm_j10,PSP49.SCH,solver_3,feasible,27,1600.6,2.00,8,42,120,true,"0, 0, 10, 11, 0, 14, 6, 11, 20, 20"
sm_j10,PSP50.SCH,solver_3,feasible,56,1602.3,2.00,8,42,120,true,"9, 20, 16, 0, 45, 38, 55, 29, 20, 38"
sm_j10,PSP52.SCH,solver_3,feasible,24,1601.7,2.00,8,42,120,true,"11, 0, 0, 0, 7, 20, 15, 7, 15, 20"
sm_j10,PSP53.SCH,solver_3,feasible,32,1600.5,2.00,8,42,120,true,"7, 0, 7, 16, 7, 0, 11, 26, 11, 16"
sm_j10,PSP54.SCH,solver_3,feasible,22,1601.3,2.00,8,42,120,true,"0, 8, 1, 0, 1, 5, 17, 10, 8, 11"
sm_j10,PSP55.SCH,solver_3,feasible,21,1600.2,2.00,8,42,120,true,"0, 0, 12, 8, 13, 0, 15, 2, 15, 13"
sm_j10,PSP56.SCH,solver_3,feasible,21,1600.6,2.00,8,42,120,true,"0, 0, 5, 9, 0, 8, 15, 0, 5, 10"
sm_j10,PSP57.SCH,solver_3,feasible,29,1600.3,2.00,8,42,120,true,"18, 0, 0, 8, 15, 17, 22, 19, 19, 8"
sm_j10,PSP58.SCH,solver_3,feasible,18,1600.2,2.00,8,42,120,true,"0, 6, 0, 0, 3, 15, 11, 10, 6, 8"
sm_j10,PSP59.SCH,solver_3,feasible,30,1601.0,2.00,8,42,120,true,"0, 6, 0, 0, 8, 16, 12, 12, 17, 26"
sm_j10,PSP60.SCH,solver_3,feasible,23,1600.6,2.00,8,42,120,true,"0, 5, 0, 10, 11, 2, 19, 16, 19, 16"
sm_j10,PSP61.SCH,solver_3,feasible,58,1601.8,2.00,8,42,120,true,"9, 0, 17, 24, 31, 47, 53, 33, 57, 40"
