dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j20,PSP1.SCH,solver_3,feasible,48,1602.2,2.00,8,42,120,true,"18, 15, 12, 12, 0, 26, 3, 0, 0, 25, 29, 32, 25, 15, 8, 22, 32, 41, 35, 15"
sm_j20,PSP2.SCH,solver_3,feasible,60,1600.3,2.00,8,42,120,true,"32, 0, 0, 0, 32, 2, 10, 39, 10, 20, 59, 15, 47, 27, 36, 56, 10, 0, 27, 10"
sm_j20,PSP3.SCH,solver_3,feasible,80,1603.9,2.00,8,42,120,true,"13, 0, 22, 36, 0, 28, 36, 8, 13, 53, 21, 36, 43, 55, 43, 55, 64, 73, 43, 39"
sm_j20,PSP4.SCH,solver_3,feasible,44,1600.7,2.00,8,42,120,true,"13, 0, 7, 0, 18, 7, 33, 33, 9, 13, 37, 7, 18, 41, 43, 30, 24, 24, 37, 20"
sm_j20,PSP5.SCH,solver_3,feasible,56,1601.4,2.00,8,42,120,true,"43, 0, 46, 0, 0, 49, 45, 17, 8, 8, 41, 35, 35, 7, 7, 26, 26, 7, 49, 46"
sm_j20,PSP6.SCH,solver_3,feasible,76,1600.6,2.00,8,42,120,true,"8, 0, 44, 0, 6, 20, 51, 6, 8, 13, 29, 38, 72, 67, 29, 66, 58, 29, 58, 29"
sm_j20,PSP7.SCH,solver_3,feasible,57,1604.7,2.00,8,42,120,true,"0, 23, 9, 25, 2, 41, 0, 0, 41, 8, 49, 27, 19, 24, 23, 51, 41, 19, 19, 33"
sm_j20,PSP8.SCH,solver_3,feasible,68,1602.0,2.00,8,42,120,true,"16, 7, 7, 0, 29, 16, 0, 0, 20, 2, 49, 30, 38, 59, 24, 42, 62, 38, 48, 59"
sm_j20,PSP9.SCH,solver_3,feasible,74,1600.2,2.00,8,42,120,true,"10, 0, 0, 27, 62, 23, 1, 33, 23, 14, 49, 54, 9, 69, 14, 47, 37, 36, 43, 69"
sm_j20,PSP10.SCH,solver_3,feasible,54,1603.0,2.00,8,42,120,true,"15, 0, 10, 27, 0, 5, 15, 10, 17, 46, 21, 34, 25, 27, 21, 47, 41, 0, 47, 21"
sm_j20,PSP11.SCH,solver_3,feasible,41,1600.6,2.00,8,42,120,true,"14, 27, 19, 0, 12, 14, 0, 0, 8, 2, 2, 14, 9, 19, 31, 31, 29, 37, 5, 19"
sm_j20,PSP12.SCH,solver_3,feasible,38,1601.2,2.00,8,42,120,true,"19, 19, 0, 4, 0, 12, 0, 0, 12, 11, 21, 26, 21, 34, 27, 29, 21, 29, 21, 10"
sm_j20,PSP13.SCH,solver_3,feasible,45,1603.4,2.00,8,42,120,true,"18, 0, 10, 16, 2, 21, 0, 21, 0, 25, 10, 37, 33, 44, 31, 16, 21, 37, 24, 41"
sm_j20,PSP14.SCH,solver_3,feasible,44,1603.0,2.00,8,42,120,true,"0, 15, 15, 12, 2, 7, 7, 2, 0, 0, 8, 8, 22, 13, 37, 28, 29, 17, 37, 25"
sm_j20,PSP15.SCH,solver_3,feasible,62,1604.8,2.00,8,42,120,true,"15, 19, 58, 0, 0, 0, 29, 10, 10, 15, 19, 26, 54, 48, 38, 38, 48, 38, 29, 61"
