dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j10,PSP3.SCH,solver_optimal,feasible_optimal,29,839.8,29.00,8,,,true,"13, 0, 0, 16, 7, 13, 24, 16, 14, 21"
sm_j10,PSP1.SCH,solver_optimal,feasible_optimal,25,1409.2,29.00,8,,,true,"3, 0, 0, 0, 3, 20, 10, 20, 10, 6"
sm_j10,PSP2.SCH,solver_optimal,feasible_optimal,46,1519.6,29.00,8,,,true,"10, 28, 0, 14, 0, 18, 14, 9, 37, 37"
sm_j10,PSP9.SCH,solver_optimal,feasible_optimal,41,1958.1,29.00,8,,,true,"14, 0, 19, 8, 0, 35, 17, 25, 8, 21"
sm_j10,PSP5.SCH,solver_optimal,feasible_optimal,32,2770.0,29.00,8,,,true,"0, 0, 11, 0, 9, 22, 11, 30, 13, 13"
sm_j10,PSP13.SCH,solver_optimal,feasible_optimal,34,606.5,29.00,8,,,true,"0, 15, 5, 0, 22, 5, 25, 24, 15, 23"
sm_j10,PSP14.SCH,solver_optimal,feasible_optimal,20,90.2,29.00,8,,,true,"5, 0, 0, 8, 5, 9, 15, 11, 9, 11"
sm_j10,PSP7.SCH,solver_optimal,feasible_optimal,32,3601.4,29.00,8,,,true,"18, 3, 0, 0, 10, 18, 27, 27, 23, 0"
sm_j10,PSP4.SCH,solver_optimal,feasible_optimal,32,3649.1,29.00,8,,,true,"14, 13, 5, 10, 0, 13, 0, 15, 22, 15"
sm_j10,PSP17.SCH,solver_optimal,true_infeasible,,1.1,29.00,8,,,true,-1
sm_j10,PSP11.SCH,solver_optimal,feasible_optimal,29,2344.7,29.00,8,,,true,"10, 2, 2, 4, 0, 6, 18, 24, 24, 18"
sm_j10,PSP18.SCH,solver_optimal,feasible_optimal,26,563.3,29.00,8,,,true,"0, 7, 10, 0, 13, 22, 13, 13, 21, 21"
sm_j10,PSP12.SCH,solver_optimal,feasible_optimal,27,2490.3,29.00,8,,,true,"6, 6, 0, 0, 6, 13, 19, 26, 13, 10"
sm_j10,PSP16.SCH,solver_optimal,feasible_optimal,26,1782.7,29.00,8,,,true,"0, 7, 0, 7, 7, 19, 9, 9, 13, 24"
sm_j10,PSP8.SCH,solver_optimal,feasible_optimal,35,5793.2,29.00,8,,,true,"0, 9, 0, 19, 19, 0, 31, 28, 34, 28"
sm_j10,PSP6.SCH,solver_optimal,feasible_optimal,33,6239.1,29.00,8,,,true,"10, 10, 15, 19, 0, 0, 28, 25, 19, 25"
sm_j10,PSP15.SCH,solver_optimal,feasible_optimal,39,2782.0,29.00,8,,,true,"0, 16, 0, 10, 0, 25, 30, 19, 30, 6"
sm_j10,PSP24.SCH,solver_optimal,feasible_optimal,23,363.1,29.00,8,,,true,"0, 0, 0, 0, 6, 3, 3, 2, 6, 15"
sm_j10,PSP26.SCH,solver_optimal,true_infeasible,,1.6,29.00,8,,,true,-1
sm_j10,PSP27.SCH,solver_optimal,true_infeasible,,1.4,29.00,8,,,true,-1
sm_j10,PSP19.SCH,solver_optimal,feasible_optimal,22,2893.0,29.00,8,,,true,"4, 0, 0, 2, 5, 10, 14, 8, 0, 5"
sm_j10,PSP25.SCH,solver_optimal,feasible_optimal,35,566.1,29.00,8,,,true,"0, 9, 0, 6, 0, 10, 20, 30, 23, 20"
sm_j10,PSP20.SCH,solver_optimal,feasible_optimal,39,2851.1,29.00,8,,,true,"0, 10, 0, 0, 10, 14, 20, 20, 14, 30"
sm_j10,PSP21.SCH,solver_optimal,feasible_optimal,29,1796.2,29.00,8,,,true,"0, 0, 0, 6, 16, 19, 7, 19, 26, 0"
sm_j10,PSP22.SCH,solver_optimal,feasible_optimal,20,2238.2,29.00,8,,,true,"0, 8, 2, 0, 2, 8, 9, 15, 8, 9"
sm_j10,PSP29.SCH,solver_optimal,feasible_optimal,29,1642.5,29.00,8,,,true,"0, 5, 0, 0, 0, 12, 12, 20, 12, 28"
sm_j10,PSP10.SCH,solver_optimal,feasible_optimal,31,7472.3,29.00,8,,,true,"1, 28, 0, 6, 1, 25, 21, 10, 21, 17"
sm_j10,PSP30.SCH,solver_optimal,feasible_optimal,30,2354.5,29.00,8,,,true,"0, 9, 0, 5, 0, 19, 11, 21, 11, 20"
sm_j10,PSP28.SCH,solver_optimal,feasible_optimal,25,3294.6,29.00,8,,,true,"3, 0, 6, 0, 0, 4, 9, 9, 23, 18"
sm_j10,PSP35.SCH,solver_optimal,feasible_optimal,38,1293.1,29.00,8,,,true,"0, 9, 26, 18, 6, 27, 35, 37, 9, 18"
sm_j10,PSP37.SCH,solver_optimal,feasible_optimal,32,631.8,29.00,8,,,true,"6, 0, 0, 16, 9, 29, 31, 19, 16, 19"
sm_j10,PSP34.SCH,solver_optimal,feasible_optimal,56,3756.7,29.00,8,,,true,"29, 25, 8, 0, 15, 45, 52, 29, 37, 45"
sm_j10,PSP36.SCH,solver_optimal,feasible_optimal,51,3298.5,29.00,8,,,true,"19, 30, 0, 25, 10, 35, 19, 42, 50, 48"
