dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j20,PSP1.SCH,solver_topological,feasible,51,0.4,,8,,,true,"18, 0, 18, 6, 3, 0, 9, 3, 3, 31, 25, 35, 34, 18, 11, 28, 31, 44, 35, 18"
sm_j20,PSP2.SCH,solver_topological,feasible,67,0.4,,8,,,true,"51, 20, 8, 8, 51, 10, 30, 0, 10, 30, 45, 30, 58, 37, 54, 42, 46, 0, 45, 30"
sm_j20,PSP3.SCH,solver_topological,feasible,98,0.5,,8,,,true,"15, 7, 0, 0, 6, 24, 48, 57, 62, 90, 76, 83, 39, 39, 70, 92, 48, 32, 62, 51"
sm_j20,PSP4.SCH,solver_topological,feasible,55,0.5,,8,,,true,"2, 2, 10, 3, 0, 0, 43, 10, 25, 16, 14, 12, 47, 53, 14, 40, 34, 34, 21, 16"
sm_j20,PSP5.SCH,solver_topological,feasible,84,0.6,,8,,,true,"15, 0, 17, 20, 8, 43, 27, 52, 28, 20, 43, 70, 37, 27, 27, 61, 0, 0, 78, 28"
sm_j20,PSP6.SCH,solver_topological,feasible,90,0.7,,8,,,true,"9, 14, 22, 7, 0, 64, 35, 29, 29, 57, 0, 29, 42, 46, 81, 46, 51, 51, 73, 73"
sm_j20,PSP7.SCH,solver_topological,feasible,63,0.6,,8,,,true,"2, 8, 15, 13, 2, 10, 0, 0, 47, 15, 55, 29, 9, 25, 29, 57, 47, 0, 25, 39"
sm_j20,PSP8.SCH,solver_topological,feasible,73,0.6,,8,,,true,"0, 7, 8, 0, 30, 17, 0, 0, 21, 2, 54, 35, 43, 64, 21, 43, 67, 31, 53, 64"
sm_j20,PSP9.SCH,solver_topological,feasible,94,0.6,,8,,,true,"22, 0, 0, 0, 80, 18, 10, 40, 55, 31, 75, 47, 0, 26, 31, 40, 65, 87, 65, 26"
sm_j20,PSP10.SCH,solver_topological,feasible,57,0.4,,8,,,true,"15, 0, 10, 2, 1, 15, 15, 0, 20, 49, 21, 37, 28, 30, 24, 50, 44, 0, 50, 17"
sm_j20,PSP11.SCH,solver_topological,feasible,51,0.5,,8,,,true,"10, 17, 0, 21, 0, 21, 0, 17, 29, 2, 26, 38, 32, 33, 38, 26, 43, 38, 0, 9"
sm_j20,PSP12.SCH,solver_topological,feasible,50,0.6,,8,,,true,"22, 4, 0, 14, 0, 10, 0, 0, 31, 25, 43, 22, 38, 9, 45, 14, 26, 38, 38, 17"
sm_j20,PSP13.SCH,solver_topological,feasible,52,0.7,,8,,,true,"10, 0, 10, 17, 0, 18, 2, 10, 0, 28, 22, 22, 36, 28, 32, 13, 38, 48, 38, 29"
sm_j20,PSP14.SCH,solver_topological,feasible,56,0.5,,8,,,true,"0, 9, 12, 0, 19, 6, 6, 0, 7, 0, 9, 27, 34, 9, 49, 19, 41, 18, 27, 24"
sm_j20,PSP15.SCH,solver_topological,feasible,76,1.0,,8,,,true,"31, 5, 73, 0, 0, 12, 22, 0, 31, 5, 46, 40, 35, 56, 62, 35, 42, 42, 56, 72"
